text,label_address,label_voda,label_risk
"Ppefer email, one i off",0,0,0
police report filed. risk assessed as high. use alternate phone for contact,0,1,0
I Need A Safe PlaceUrgently ..,0,0,1
Meeting at Shelter; staying with friends.; support worker updated,0,0,0
use alternate phone for contact. Working with Harbour; staying with friend temporarily.,0,1,0
I Don'T Feel Safe Right Now,0,0,1
"Flat 52b, Waverley Walk",1,0,0
"Flat 39, Victoria Row",1,0,0
things got physical last night,0,1,0
"i’m a carer and i’m burned out, close to breaking",0,0,1
"Studio 250B, 2A Rgent Walk",1,0,0
470d popalr close,1,0,0
staying with friend temporarily. MARAC referral submitted; use alternate phone for contact,0,1,0
Hwat is my case numebr ngain!,0,0,0
need emergency accommodation tonight,0,1,0
Update: CV updated. Will review in 2 weeks; support worker updated,0,0,0
"Sleeping in stairwell, scared of people around.",0,0,1
i think i migh hurt someone if this continues ...,0,0,1
"Corner House, uQeen Row",1,0,0
"Room 33a, 239C Cedar Court",1,0,0
scared of making him angry,0,1,0
my phone screen is broke,0,0,0
291r Seaview Walk,1,0,0
Currently in women's refuge; do not disclose details to previous partner.; emergency accommodation,0,1,0
668C Poplar Mesw !,1,0,0
"Springfield, Bloomsbury Road",1,0,0
"ROOM 202, 683 PORTLAND GATE",1,0,0
"partner smashed my phone, isolated me",0,0,1
Working at women's refuge as volunteer,0,0,0
Meeting at Shelter; training course booked.,0,0,0
Moved to women's refuge. Safety plan with IDVA in place; avoid in-person appointments where possible; risk to safety,0,1,0
no third-party disclosures allowed. Working with Beyond the Streets; support plan agreed.,0,1,0
ACN'T xEEP MYSELF SAFE TONIGHT,0,0,1
CONTACTED CITIZENS ADVICE FOR ADVICE RE ALCOHOL SUPPORT GROUP.,0,0,0
i think i might hurt someoue if this contiues,0,0,1
he hurts me then apologizes,0,1,0
SOMEONE THREATENED ME AND I'M AFRAID O LAVE THE HOUSE,0,0,1
Studio 64,1,0,0
can't predict his mood,0,1,0
Meeting with family mediation service next week,0,0,0
Women's Aid support worker present; no contact with ex-partner. use alternate phone for contact,0,1,0
k feel like i might hurt myself ...,0,0,1
I'M Having A Panic Attack Alone kt om,0,0,1
409 QueenhGrove,1,0,0
Applying for emergency housing due to situation,0,1,0
domestic violence,0,1,0
156A Harbour View,1,0,0
No safeguarding concerns disclosed. interview scheduled,0,0,0
EDAC support worker present; awaiting lock changes under sanctuary scheme. keep address confidential,0,1,0
"CORNERH OUSE, BLOOMSBURY STERET",1,0,0
Contacted aa for advice re alcohol support group.,0,0,0
Thx for your help today,0,0,0
i don't efelsafe xight now,0,0,1
Discussed uc claim; next steps agreed.,0,0,0
i think i might hurt someone if this continues,0,0,1
"Primrose House, Warwick Grove",1,0,0
Bus was late again,0,0,0
"Wayside, Warwick Avenue",1,0,0
Update: housing application in progress. Will review in 2 weeks; support worker updated,0,0,0
"CORNER HOUSE, HARBOUR ROD",1,0,0
seeking legal advice via Beyond the Streets. risk assessed as high. keep address confidential,0,1,0
Update: sofa surfing. Awaiting documents; support worker updated,0,0,0
requested address to be kept off all letters. children's services aware. do not disclose details to previous partner; risk to safety,0,1,0
CAN'T KEEP MYSELF SAFE TONIGHT,0,0,1
200C Sycamore Avenue,1,0,0
i feel like i might hurtbmysqlf,0,0,1
risk assessed as high; no contact with ex-partner; no third-party disclosures allowed; risk to safety,0,1,0
ITHINK I MIGHT HURT SOMENOE IF THIS CONINUES !,0,0,1
Harbour support worker present; requested address to be kept off all letters. do not disclose details to previous partner,0,1,0
update: nfa. referred to budgeting workshop; support worker updated,0,0,0
kids are in the house and i'mw orrie babout thericsafety ..,0,0,1
i don't feelsaf right now,0,0,1
"The Old Forge, King Hill",1,0,0
328 Regent Road ?,1,0,0
partner blames me for everything,0,1,0
I THIKN I MIGHT HURT SOMEONE IF THIS CONTINUES,0,0,1
i’m 17 and stuck with people who scare me,0,0,1
I Think l Might Hurt Someone If Tqis Continues,0,0,1
risk assessed as medium; MARAC referral completed; no third-party disclosures allowed; safety plan,0,1,0
seeking legal advice via Harbour. staying with friend temporarily. no third-party disclosures allowed; DV,0,1,0
85 Sycamore Lane,1,0,0
im moving soon but not sure where yet,0,0,0
r28b king avenue !,1,0,0
"Room 29, 358B Bridge Avenue ...",1,0,0
OMEONE HTREATENoD ME AND m'M AFRAID TO LEAVE THE HOUSE,0,0,1
Update: NFA. Awaiting documents,0,0,0
Risk assessed as medium; seeking legla advice via hestia; use alternate phone for contact,0,1,0
No safeguarding concerns disclosed. staying with friends; support worker updated,0,0,0
Meeting at Shelter; ESOL classes.,0,0,0
Contacted Citizens Advice for advice re staying with friends.; support worker updated,0,0,0
neighbor heard argument called police,0,1,0
do not disclose details to previous partner. Working with Galop; risk assessed as medium.; do not disclose details to previous partner,0,1,0
Flat 93,1,0,0
Meeting at ESOL provider; seeking part-time work.,0,0,0
no third-party disclosures allowed. Working with Harbour; staying with friend temporarily.; DA,0,1,0
No safeguarding concerns disclosed. UC claim,0,0,0
Currently in temporary accommodation; keep address confidential.,0,1,0
SleepingRough And It'S Freezing,0,0,1
523A Prince Road,1,0,0
No safeguarding concerns disclosed. ESOL classes,0,0,0
meeting idva next week. staying with friend temporarily. keep address confidential,0,1,0
"Room 174, 61B Prnce Road. Nes Urgent Help At This Address !",1,0,1
Family argument got heated but everyone fine,0,0,0
upadte: interview scheduled. awaiting documents,0,0,0
"Corner House, oork Roc",1,0,0
risk assessed as high. MARAC referral submitted; use alternate phone for contact,0,1,0
"11b Station View, Clapham Avenue",1,0,0
sleeping rouhg nd it's freezing !,0,0,1
someone threatenedme and iom afradi to leave the house,0,0,1
227 Greenwich Grove,1,0,0
141B Baker Lane.hi'm in dangpr at his location,1,0,1
Update: training course booked. Referred to budgeting workshop,0,0,0
risk assessed as high. MARAC referral submitted; do not disclose details to previous partner,0,1,0
"i'm a risk to ymself, pease contact e asap ?",0,0,1
Send etter to ehe usual plac.,0,0,0
i'm in crisis and don'tcknow what to do,0,0,1
393c poplar erescent,1,0,0
kids are in the ohuse and i'm worried about their safety,0,0,1
"hfllcrest, uillow walk",1,0,0
912b warwick row. need urgent help at this address !,1,0,1
413C YORK CRESCENT !!,1,0,0
83rB Pine Avenue,1,0,0
Can'T Kee Myself Safe Tonight,0,0,1
Hestia support worker present; meeting IDVA next week. avoid in-person appointments where possible,0,1,0
i'm i wcrisis and don't know what to do,0,0,1
"Flat 3, Strand Row",1,0,0
Need A Safe Place Urgently,0,0,1
"I'M A RISK TO MYSELF, PLEASE CONmACT ME ASPA",0,0,1
I'M NI CdISIS AND DON'T KNOW WHA TTOD O,0,0,1
05 Smith neck,1,0,0
"ROSE COTTAGE, QENE SUQARE",1,0,0
Contacted Jobcentre for advice re bus fares.,0,0,0
No safeguarding concerns disclosed. sofa surfing,0,0,0
meeting moved to 11:30 at the office,0,0,0
"Flat 17a8, 420B Maple Strnet ?",1,0,0
meteing nvoed to oMn at the office,0,0,0
Need to protect myself and children,0,1,0
Moved to temporary accommodation. Safety plan with IDVA in place; use alternate phone for contact,0,1,0
Meeting at Probation; CV updated.; support worker updated,0,0,0
Kids Are In The House And I'M Worried About Their Safety,0,0,1
Ocntacted citizens advice for advice re alcohol support group.,0,0,0
"rkom 178b, 331a portland close",1,0,0
"rPimrose House, Albert Terrace",1,0,0
26 Ali flats,1,0,0
34 High Street,1,0,0
"studioc192b, 56a durham yerrace",1,0,0
contacted citizens advice for advice re alcohol support group.,0,0,0
no third-party disclosures allowed. working with edac; children's services aware.; threats received,0,1,0
i hink i might hurt someoe if this continues !,0,0,1
staying with friend temporarily. MARAC referral submitted; do not disclose details to previous partner,0,1,0
462b rbidge terrace,1,0,0
MEETING IDVA NEXT WEEK. RISK ASSESSED AS MEDIUM. USE ALTERNATE PHONE FOR CONTACT; WOMEN'S REFUGE,0,1,0
someone threatened me and i'm afraid to leave the house,0,0,1
Update: sofa surfing. Will review in 2 weeks; support worker updated,0,0,0
"THE OLD FORGE, SYCAMORE ROc. NEED URGENT HELP AT THISADDRESS",1,0,1
Update: alcohol support group. Follow-up call booked,0,0,0
Police called about car accident yesterday,0,0,0
"HILLCREST, STRAND CRESCNT ?",1,0,0
83DS yamore Row. Please Send Help Here ...,1,0,1
Domestic abuse; woemn's refuge,0,1,0
"tudio 218, 598 Queen Lane",1,0,0
886 IY GROVE,1,0,0
"SiUDIO 271A, 421A LAVENDER OW",1,0,0
I'm worried i might do something to myself,0,0,1
I ON'T FEE LSAFb RIGHT NOW ...,0,0,1
31A Ash Square,1,0,0
"studio 1a, 56 prince street",1,0,0
"sthio 7c, 755 wilow avenue ...",1,0,0
No fixed abode; support worker updated,0,0,0
I left it blank by mistake,0,0,0
61 Harbour Road,1,0,0
Sleeping Rough And ItwS Frenbing !,0,0,1
"Corner House, Bridge Terace",1,0,0
Discussed UC claim; next steps agreed.; support worker updated,0,0,0
CAN'T KEEP MYSELF AFE TONIGHT,0,0,1
"Flat 57, Poplar Mews",1,0,0
"Studio 022c, 763A Shrand Walk",1,0,0
can't leave because he has my passport,0,1,0
Kids Are In The House An dI'M Worried About Their Safety ?,0,0,1
Currently in sanctuary scheme (staying put); use alternate phone for contact.; do not disclose details to previous partner,0,1,0
no third-party disclosures allowed. Working with Mankind Initiative; risk assessed as medium.; restraining order,0,1,0
think i mighk hurt sozeine if htis contibues ?,0,0,1
"suudio 34b, 341a bloomsbury mcws",1,0,0
Meeting at IAPT; NFA.; support worker updated,0,0,0
avoid in-person appointments where possible. Working with Women's Aid; awaiting housing allocation.,0,1,0
"studio 14b, 25xb victoria cogr.t need urgeng help at this address",1,0,1
259 Soho Gate,1,0,0
contacted iapt for advice re sofa surfing.,0,0,0
Meeting at Shelter; housing application in progress.,0,0,0
i don't feels tfe right now,0,0,1
Contacted ESOL provider for advice re work capability assessment.,0,0,0
Contacted Citizens Advice for advice re childcare support needed.,0,0,0
587a harory grove,1,0,0
awaiting housing allocation. MARAC referral submitted; keep address confidential,0,1,0
"Studio 41B, 293 Willw Court ..",1,0,0
Currently in sanctuary scheme (staying put); no third-party disclosures allowed.; DA,0,1,0
plezse resend the link,0,0,0
Moved to women's refuge. Safety plan with IDVA in place; keep address confidential; IDVA support,0,1,0
I need a safe place now!,0,0,1
Galop support worker present; awaiting lock changes under sanctuary scheme. use alternate phone for contact; threats received,0,1,0
Meeting at Probation; training course booked.; support worker updated,0,0,0
banana pancake recpie plz ..,0,0,0
meeting IDVA next week. awaiting housing allocation. no third-party disclosures allowed,0,1,0
Update: UC claim. Referred to budgeting workshop; support worker updated,0,0,0
Flat 0,1,0,0
I ENED EMERGENCi ACCOMMODATION TONIGHT,0,0,1
sleeping rough and it's freezing !,0,0,1
I left it blank by mistake ..,0,0,0
"sudio 42, 635 king gate ...",1,0,0
Contacted probation for advice re cv updated.,0,0,0
i think i might hurt someone if tihs continues,0,0,1
"ROOM 99, 84D CEDAR TERACE",1,0,0
aa,0,0,0
"I'M HAVING A PAIC ATTACK, ALONE ATH OME !",0,0,1
"I'M Having A Panic Attack, Alone At Home",0,0,1
Contacted AA for advice re NFA.,0,0,0
Argument with landlord about repairs escalating,0,0,0
Moved to women's refuge. Safety plna with IDVA in place; use alternate phone for contact; risk to safety,0,1,0
"room 16, 79a cedar mews",1,0,0
112C Perltand Close,1,0,0
Update: English not first language. Childcare options discussed,0,0,0
Refuge support worker present; police report filed. do not disclose details to previous partner; harassment from ex-partner,0,1,0
Update: CV updated. Childcare options discussed; support worker updated,0,0,0
Police involved; non-molestation order in progress. no third-party disclosures allowed; MARAC referral,0,1,0
Moved to sanctuary scheme (staying put). safety plan with idva in place; keep address confidential,0,1,0
I Need Emvrgency Accommodation Tonight,0,0,1
Can' TKeep Myself Safe Tonight !,0,0,1
Currently in safe accommodation; use alternate phone for contact.; risk to safety,0,1,0
"Studio 144c, 724A eDptofrd Close",1,0,0
refer not ot ssy,0,0,0
540B Kiag Court ..,1,0,0
Contacted Citizens Advice for advice re ESOL classes.,0,0,0
children's services aware. MARAC referral submitted; keep address confidential,0,1,0
i nee da safe plrce urgently,0,0,1
"Room 81w, 864D Seaview Road",1,0,0
"corner house, warwickavenue",1,0,0
"Flat 48, Deptford Lane",1,0,0
I Feel Like I Might Hurt Mysel,0,0,1
Update: CV updated. Will review in 2 weeks,0,0,0
Meeting at IAPT; NFA.,0,0,0
Meeting at Probation; fit note provided.,0,0,0
Sleeping Rough And I'S Frezing ...,0,0,1
Currently in women's refuge; use alternate phone for contact.; coercive control,0,1,0
Currently in temporary accommodation; avoid in-person appointments where possible.,0,1,0
NFA,0,0,0
Discussed alcohol support group; next steps agreed.,0,0,0
178a alert gate !!,1,0,0
Contacted Citizens Advice for advice re training course booked.; support worker updated,0,0,0
816A MAPLE WALK,1,0,0
Police involved; restraining order in progress. keep address confidential; crime reference provided,0,1,0
"IVY COTTAGE, DEPTFORDA VENUE. IM' IN DANGER AT THIS LOCATION",1,0,1
"Spudio 149c, 245A Bloomsbuyr Avnue ...",1,0,0
Update: fit note provided. Awaiting documents,0,0,0
"wayide, oxford street",1,0,0
update: housing application in progress. childcare options discussed,0,0,0
"Room 23c,3 66 Primroes Mews",1,0,0
Situation getting worse need support,0,1,0
Children's services aware; liaising with social worker; keep address confidential,0,1,0
REFUGE SUPPORT WORKER PRESENT; POLICE REPORT FILED. AVOID IN-PERSON APPOINTMENTS WHERE POSSIBLE; POLICE INVOLVED,0,1,0
can't keep myself sfretonight,0,0,1
I Need Emergencg Accommodation Tonight,0,0,1
"Flat 109, 195A Queen Groveg Please Send HelpHere ...",1,0,1
"i'm haing apanic attack, aloen a thome !!",0,0,1
46 Reid falls,1,0,0
DA,0,1,0
919 Archer point,1,0,0
227A Strand Crescent,1,0,0
"ROOM 21B, 210A ECKHAM AVENUE. NEED URGENT HELP AT THIy ADDRESS !!",1,0,1
0 Melissa springs,1,0,0
Currently in safe accommodation; no third-party disclosures allowed.; perpetrator,0,1,0
Need advice on legal protection options,0,1,0
form keeps crashing on iapd,0,0,0
seeking legal advice via EDAC. support plan agreed. no third-party disclosures allowed; do not disclose details to previous partner,0,1,0
Moved to women's refuge. Safety plan with IDVA in place; keep address confidential,0,1,0
600d greenwich view !!,1,0,0
No safeguarding concerns disclosed. training course booked,0,0,0
can't keepkmyself safe tonight,0,0,1
SLEEPING ROUGHoAND IT'S FREEZING !!,0,0,1
Currently in women's refuge; no third-party disclosures allowed.; perpetrator,0,1,0
98 Alexandra light,1,0,0
Update: training course booked. Will review in 2 weeks; support worker updated,0,0,0
Currently in safe accommodation; use alternate phone for contact.,0,1,0
Police involved; restraining order in progress. keep address confidential; threats received,0,1,0
Contacted IAPT for advice re housing application in progress.; support worker updated,0,0,0
kids are in the house andvi'm worried abot their safety ...,0,0,1
i need a safe place urgently,0,0,1
i don't feel safe right now,0,0,1
meeting moved to 11:30 at the office ..,0,0,0
"flat 75c, 673c seaviewroad !!",1,0,0
"I'M A RISK TO MYSELF, PLEASE CONTACT ME ASAP ..",0,0,1
"Flat 46, Cornwall Close",1,0,0
kids are in the house and i'm worried about their safety,0,0,1
183 Downs Grove,1,0,0
404 Hill manor,1,0,0
Moved to women's refuge. Safety plan with IDVA in place; use alternate phone for contact; harassment from ex-partner,0,1,0
someone thratene dme and i'm afraid to leav the ohuse ..,0,0,1
"ROS COTTAGE, PINE TERRACE",1,0,0
he's getting worse,0,1,0
feeling unsafe but its about neighborhood crime not partner,0,0,0
itneed a safe place urgently,0,0,1
my mental health is really bad and im scared,0,0,1
Discussed staying with friends; next steps agreed.; support worker updated,0,0,0
i need emergency accommodation tonight,0,0,1
Moved to sanctuary scheme (staying put). Safety plan with IDVA in place; avoid in-person appointments where possible; retsraining order,0,1,0
Update: cv updated. follow-up call booked,0,0,0
Police involved; non-molestation order in progress. keep address confidential; domestic abuse,0,1,0
Update: fit note provided. Follow-up call booked,0,0,0
Beyond the Streets support worker present; liaising with social worker. use alternate phone for contact; restraining order,0,1,0
Domestic violence; safety plan,0,1,0
afraid of his temper,0,1,0
risk assessed as high; no contact with ex-partner; use alternate phone for contact,0,1,0
nfa,0,0,0
Discussed English not first language; next steps agreed.; support worker updated,0,0,0
"Wayside, Bridge Drive",1,0,0
"i'm having a panic attack, alone at home",0,0,1
Contacted Shelter for advice re training course booked.,0,0,0
07 Walsh forges,1,0,0
KIDS ARE IN THE HOUSE NAD I'M WORRIED AOBTU THEIR SAFETY,0,0,1
osmeone threatened me and i'm afraid to leav thehouse,0,0,1
"Springfield, Beech Close",1,0,0
I THINK I MIGHT HURT SOMEONE IF TIS rNOTINUES ..,0,0,1
Meeting with social worker about concerns re children and home environment,0,1,0
Studio 50,1,0,0
"Studio 37c, 278C Birch Road !!",1,0,0
"Room260,7 61 AgelTerrace !!",1,0,0
CURRENTLY IN WOMEN'S REFUGE; DO NOT DISCLOSE DETAILS TO PREVIOUS PARTNER.; DA,0,1,0
sleeping rough and it's freezing,0,0,1
no third-party disclosures allowed. Working with EDAC; awaiting housing allocation.; risk to safety,0,1,0
378A Willow Avenue,1,0,0
213A Regent Square,1,0,0
"I'M A eIKS TO YMSELF, PLEASE CONTACT ME ASAP ?",0,0,1
kids are in the housea nd i'm worried abou their nafety,0,0,1
police report filed. risk assessed as medium. use alternate phone for contact,0,1,0
Contacted Jobcentre for advice re interview scheduled.; support worker updated,0,0,0
I DO'q FEELiSAFE RIGHT NOW !,0,0,1
70 Bennett knoll,1,0,0
no fixed abode,0,0,0
Someon eThreatened Me And I'M AfraidT o Leave The Houe,0,0,1
"i'muhavin ga panic attack, alone at home !!",0,0,1
update: childcare support needed. childcare options discussed,0,0,0
787a victorai grve,1,0,0
"i'm a risk to myself, please contact mw aap ..",0,0,1
Currently in safe accommodation; avoid in-person appointments where possible.; sanctuary scheme,0,1,0
prefer not te way,0,0,0
can't keep mself safe tonight,0,0,1
"Flat 63b, Drury Crescent",1,0,0
2 Wilson mews,1,0,0
i need a safe place urgently ?,0,0,1
Form keeps crashing on ipad,0,0,0
avoid in-person appointments where possible. Working with Harbour; risk assessed as medium.,0,1,0
Currently in sacntuary scheme (staying put); use alternate phone for contact.,0,1,0
Awaiting housing allocation; awaiting lock changes under sanctuary scheme; no third-party disclosures allowed,0,1,0
Hestia support worker present; liaising with social worker. use alternate phone for contact; do not disclose details to previous partner,0,1,0
children's services aware. marac referral submitted; avoid in-person appointments where possible,0,1,0
Moved to safe accommodation. Safety plan with IDVA in place; keep address confidential; perpetrator,0,1,0
"Room 36, Pemberton Court, Greenwich Court",1,0,0
i'm in cirsis and dont knsw what to do,0,0,1
risk assessed as medium. marac referral submitted; use alternate phone for contact,0,1,0
do not dislcose details to previous partner. Working with EDAC; staying with friend temporarily.; emergency accommodation,0,1,0
Police involved; non-molestation order in progress. avoid in-person appointments where possible,0,1,0
I THINK  MIGHT HURT SOMEONE IF THIS CONTINUES ...,0,0,1
Studio 45m,1,0,0
Staying with friends,0,0,0
"Room 256, 268D Seavicw Avenue",1,0,0
"wayside, strand terace. i' i ndanger at this location",1,0,1
"my partner took my money and ID, trapped ...",0,0,1
"HILLCRSET, YORKC LOSE",1,0,0
Meeting at Jobcentre; sofa surfing.; support worker updated,0,0,0
awaiting housing allocation; awaiting lock changes under sanctuary scheme; keep address confidential; stalking,0,1,0
I DON'T FEL SAFE RIGHT NOW,0,0,1
KIDS ARE IN THE HOUSE AND I'M WORRIED ABUO THEIR SAFEY ?,0,0,1
Meeting at IAPT; childcare support needed.,0,0,0
I Don'T FeelSafe Right Now,0,0,1
"i’m a carer and i’m burned out, close to breaking ...",0,0,1
Meeting at Shelter; English not first language.,0,0,0
732D Queen Street. plcase snd help here,1,0,1
Flat 14,1,0,0
I DON'T FEEL SAiE RIGHT NOW ?,0,0,1
support plan agreed. MARAC referral submitted; no third-party disclosures allowed,0,1,0
Moved to women's refuge. Safety plan with IDVA in place; do not disclose details to previous partner,0,1,0
"I'M A RISK TO MYSELF, PLEASE CONTACT ME AASP",0,0,1
sleeping rough nad it's freezing ?,0,0,1
meeting at citizens advice; housing application in progress.,0,0,0
i dont know wot this form is for,0,0,0
risk assessed as medium. MARAC referral submitted; use alternate phone for contact,0,1,0
265 Ash Terrace,1,0,0
risk assessed as high; liaising with social worker; use alternate phone for contact; threats received,0,1,0
"SeRINGFIELD, BIRCHG ROVE",1,0,0
"sleeping in stairwell, scared of people around ...",0,0,1
Update: CV updated. Referred to bdugeting workshop; support worker updated,0,0,0
"Hillcrest, Durham Street ..",1,0,0
78 Aspen Gate,1,0,0
DA; POLICE INVOLVED,0,1,0
"THE OLD FORGE, CAMBRIDGE WALK",1,0,0
Currently in sanctuary scheme (staying put); no third-party disclosures allowe.d,0,1,0
sleeping rogh and its' freezing,0,0,1
97 Claire grove,1,0,0
Moved to sanctuary scheme (staying put). Safety plan with IDVA in place; no third-party disclosures allowed; address confidential,0,1,0
i feel like i might hurt myself ?,0,0,1
Update: NFA. Follow-up call booked,0,0,0
"Room 55, 995A Durham Crescent ?",1,0,0
POLICE INVOLVED; RESTRAINING ORDER IN PROGRESS. DO NOT DISCLOSE DETAILS TO PREVIOUS PARTNER; STALKING,0,1,0
CONTACTED SHELTER FOR ADVICE RE WORK CAPABILITY ASSESSMENT.,0,0,0
"canx bretahe, panic aqtck, aone at home.",0,0,1
do not disclose details to previous partner. Working with Hestia; staying with friend temporarily.,0,1,0
risk assessed as medium; MARAC referral completed; do not disclose details to previous partner; fled address,0,1,0
Harbour support worker present; requested address to be kept off all letters. keep address confidential,0,1,0
dng have a permenant place,0,0,0
SOMEONE THREATENEDxME AND I'M AFyAID TO LEAVEbTHE HOSUE ..,0,0,1
"Corner House, Soho Hill",1,0,0
"36a Parkside Flats, Lancaster Gate",1,0,0
276D YORK TERRACE. NEED URGNT ELP AT HIS ADDRESS,1,0,1
meeting at iapt; uc claim.,0,0,0
Currently in temporary accommodation; avoid in-person appointments where possible.; stalking,0,1,0
Meeting at ESOL provider; childcare support needed.,0,0,0
i'mi n cisi sand don't know whattodo,0,0,1
"Wayside,Poplar Row ..",1,0,0
changing bank details and phone number. support plan agreed. keep address confidential,0,1,0
"room 249c, 666c seaview gte. need urgent help at ohis address",1,0,1
i think i might hurt soeone if this cnotinues,0,0,1
Studio 19,1,0,0
Refuge support worker present; MARAC referral completed. keep address confidential,0,1,0
"The Old Forge, Queen Avenu",1,0,0
"Flat 97, Essex View",1,0,0
I NEED EMERGENCY ACCOMMODATINO TONIGHT ..,0,0,1
kids are in the hruse and i' mworird about hteir safety !!,0,0,1
616D Bloomsbur yLane !!,1,0,0
"Rose Cottage, Cedar Court",1,0,0
"Studio 260B, 66D Boker Road",1,0,0
Contacted ESOL provider for advice re staying with friends.,0,0,0
iym a risk to myselfy please contact me asap ...,0,0,1
Refuge support worker present; liaising with social worker. no third-party disclosures allowed,0,1,0
CAN'TK EEP MYSELF SAFE TONIGHT,0,0,1
SOMEONE THREATENED ME AND I'M AFRAID Tq LEAVE THE HOUSE,0,0,1
"wayside, queen groev",1,0,0
"i'm a rsi to myself, please contact me asap",0,0,1
"i'm a risk to myself, please cosact me asap",0,0,1
26 Wilkinson pines,1,0,0
Sme as ebfore,0,0,0
Meeting at Care Leavers Team; English not first language.,0,0,0
I Feel Like I Might Hurt Mysel !,0,0,1
address goes here??,0,0,0
Flat 7,1,0,0
395C Beech Grove,1,0,0
Moved to safe accommodation. Safety plan with IDVA in place; keep address confidential,0,1,0
669 Fiona corner,1,0,0
leave this empty,0,0,0
i don't feel safe right now,0,0,1
"FLAT 114C, 438 DEPTFORD VIEW",1,0,0
"CORNER HOUSE, SYCAMORE TREET",1,0,0
staying with friend temporarily. marac referral submitted; keep address cnofidential,0,1,0
53C Hampstead Mews,1,0,0
KIDSARE IN THE HOUSE AqD I'M WORRIED ABOUT THEIR SAFETm,0,0,1
Update: work capability assessment. Will review in 2 weeks,0,0,0
Sprignfiled uQueen ews,1,0,0
"i'm having a panic attack, alone at home",0,0,1
staying with friend temporarily; changing bank details and phone number; do not disclose details to previous partner; crime reference provided,0,1,0
Women's Aid support worker present; changing bank details and phone number. no third-party disclosures allowed,0,1,0
Update: ESOL classes. Provided job search support,0,0,0
"rlat 274c, 236c cedar street",1,0,0
Flat 29L,1,0,0
Refuge support worker present; MARAC referral completed. keep address confidential; restraining order,0,1,0
8 8beech closj,1,0,0
4 Denis meadow,1,0,0
661 HARBOUR ETRRACE ?,1,0,0
Update: bus fares. Childcare options discussed; support worker updated,0,0,0
leave ttu emtty.,0,0,0
Contacted IAPT for advice re UC claim.,0,0,0
Meeting at IAPT; interview scheduled.,0,0,0
I' MIN CRISIS AND ODN'T oNOW WHAT TO DO !!,0,0,1
36A Mayfair Way,1,0,0
SLEEPIj GROUGH AND IT'S FREEZING,0,0,1
6 Clark avenue,1,0,0
